Trial,Prime,Target,RT,Response
1,0,1,1.1346021825702337,l
2,1,1,1.2015994873181626,l
3,0,1,0.7688611119519919,l
4,1,0,0.6789321903224845,a
5,0,0,0.7674893792045623,a
6,0,1,0.8155290387076093,l
7,1,0,0.7338919535395689,a
8,0,0,0.7840657987990198,a
9,1,1,1.0852518036263064,l
10,1,0,0.6790017369594352,a
11,0,0,0.7178352137234469,a
12,0,0,0.6688888879407386,a
13,1,1,0.7509948795750461,l
14,0,1,0.8181978375687322,l
15,1,0,0.5335720390094139,a
16,1,1,1.0017800525738494,l
17,0,0,0.7010288208939528,a
18,1,1,0.6178280030599126,l
19,0,1,0.6507564156772787,l
20,1,0,0.5310487334190839,a
