Trial,Prime,Target,RT,Response
1,1,1,0.9668845298001543,l
2,1,1,0.8002446854807204,l
3,1,1,0.683782607622561,l
4,0,1,0.6177967632538639,l
5,0,0,0.5503678493114421,a
6,0,1,0.6169699233869324,l
7,0,1,0.5509188021969749,l
8,1,0,0.5335617338132579,a
9,0,1,0.5505111299135024,l
10,1,0,0.5339837752253516,a
11,1,0,0.6020670996658737,a
12,1,1,0.4838359786226647,l
13,0,0,0.7336980351246893,a
14,1,1,0.5343113910057582,l
15,1,0,0.6174650419998216,a
16,0,0,0.733530942859943,a
17,0,1,0.6003612805798184,l
18,0,0,0.6334508863801602,a
19,0,0,0.6503514274663758,a
20,1,0,0.5502393483766355,a
